白岩松口才好，书法写得也不错	白岩松/nr
西安一学院教官调戏女生，真实情况竟然……	西安/ns
西安新落户人口子女小学升学、中高考就学办法！不符须回户籍地	西安/ns
西安新落户人口子女就学办法发布：今年高考回原户籍地！	西安/ns
无锡严查严管在职教师有偿补课 违规者面临严厉处罚	无锡/ns
为学生减压 南昌发布“十不准” 对校外培训说不	南昌/ns
为泰安考生加油！高考倒计时一个月！今年有这些新变化！	泰安/ns
为什么称位于六安的毛坦厂中学是“亚洲最大高考工厂”？	亚洲/ns,六安/ns,毛坦厂中学/nt
网曝英山一中要求高三学生捐款	英山/ns
铜仁市开展校园安全联合大检查	铜仁市/ns
天河区教育局公布义务教育阶段学校招生政策，44中并入113中	天河区/ns
泰州公办、民办幼儿园收费标准发生重大变化！	泰州/ns
泰安师范附属学校召开“架起心灵沟通的桥梁”—心理健康教育主题中队会	泰安/ns,师范附属学校/nt
泰安今年约有3.5万名考生参加夏季高考	泰安/ns
泰安11名学生上榜北大清华自主招生初审名单	泰安/ns
泰安：多措并举打造平安高考	泰安/ns
泰安：“按需助学”缓解了有偿补课依赖	泰安/ns
太原市晋源区北瓦窑小学开展防震减灾应急疏散演练活动	晋源区/ns,太原市/ns
遂平第三小学开展防溺水安全知识教育宣传活动	遂平/ns,第三小学/nt
速看2018年上海、天津、广东、福建、贵州，这5个省市高考新消息	天津/ns,上海/ns,福建/ns,广东/ns,贵州/ns
泗县墩集镇三村小学召开防溺水教育动员会	泗县/ns,墩集镇三村小学/nt
四川文科考生580分左右，2018年能报哪些学校呢？	四川/ns
四川文科高考596分可报哪些学校？	四川/ns
四川省2018年高考实施规定出台，这些方面需注意！	四川省/ns
四川省2018年高考实施规定出台，本一本二设6个平行第一志愿	四川省/ns
四川省2018年高考方案公布：全面取消特长生等加分项目	四川省/ns
四川省2018年高考方案公布 全面取消特长生等加分项目	四川省/ns
四川省2018年6月参加高考的人数有多少，全省排名至少多少能进入985、211？	四川省/ns
四川理科635分能上什么学校？	四川/ns
四川理科580分可以上什么学校？	四川/ns
四川考生女孩理科，一模成绩500左右，想报图书馆理，语言类专业，可以报哪些学校？	四川/ns
四川高考招生规定新鲜出炉，艺体类填报志愿6月28日17点以前完成	四川/ns
四川高考考试前的那点事！你遇见过了吗？	四川/ns
四川大学华西医科在上海的录取分数线是多少？	华西/ns,上海/ns
四川成都文科555分能读哪些学校？	四川/ns,成都/ns
四川45个深度贫困县高考设“深贫专项计划”，志愿填报单设批次、单独录取	四川/ns
四川2018年普通高校招生实施规定出台	四川/ns
四川2018年高考实施规定出台 考生注意！高考须注意这些问题	四川/ns
四川2018年高考实施规定出台	四川/ns
四川2018年高考方案公布 取消特长生等加分项目	四川/ns
四川2018年高考方案，全面取消体育特长生、奥赛、等加分项目！	四川/ns
四川2018年高考：本一本二可报6个平行第一志愿	四川/ns
四川2018高考招生方案公布：使用全国卷 高考时间安排	四川/ns
四川：龙马潭区玉带河学校开展毕业班学生心理健康辅导活动	四川/ns,龙马潭区/ns
睡前必看的几则西安教育资讯	西安/ns
睡前必看的几则温州教育资讯	温州/ns
睡前必看的几则南京教育资讯	南京/ns
睡前必看的几则广州教育资讯	广州/ns
书包太重对孩子有啥影响？杭州一小学体育老师做了个研究	杭州/ns
嵊州：全国普通高校招生考试安全工作暨 全省普通高校招生考试工作电视电话会议召开	嵊州/ns
省情｜今年陕西省31.9万学子冲刺高考	陕西省/ns
省教院专业解读｜四川省2018年高考志愿这样填！	四川省/ns
省教育厅发布一则通知！关系到蚌埠所有的家长和孩子！	蚌埠/ns
升学早知道！济南小升初招生信息汇总！	济南/ns
深圳自主招生官方政策出炉！	深圳/ns
深圳自主招生6月1日报名，新增一所学校（附2017年自招面试题）	深圳/ns
深圳中考近三年，深圳各高中录取分数线汇总！给自己有个底	深圳/ns
深圳6所公办普高自主招生计划定了	深圳/ns
深圳6所公办普高开展自主招生改革试点	深圳/ns
邵阳县8000余名九年级学生陆续参加2018年体育中考	邵阳县/ns
陕西今年高考报名人数31.9万 确保招生公平公正	陕西/ns
陕西今年高考报名人数31.9万 坚守招生公平公正	陕西/ns
陕西今年31.9万学子冲刺高考 与去年基本持平	陕西/ns
陕西19名学生被刺杀｜无论有多大委屈，请放过孩子！	陕西/ns
山西省长治市有哪些高校？	山西省/ns,长治市/ns
山西省忻州市有哪些高校？	山西省/ns,忻州市/ns
山西省吕梁市有哪些高校？	山西省/ns,吕梁市/ns
山西省临汾市有哪些高校？	山西省/ns,临汾市/ns
山西省晋中市有哪些高校？	山西省/ns,晋中市/ns
山西理科一模460分。能考什么大学？	山西/ns
山西理科462能上什么大学？	山西/ns
山西考生超一本130分，能上什么大学？	山西/ns
山东省高考生2018理科450分左右，在山东能上什么学校？	山东/ns,山东省/ns
山东省高考改革怎么选科好？	山东省/ns
山东省春季高考今日开考 考试期间家长注意事项	山东省/ns
山东省59.2万人参加高考，全国第三	山东省/ns
山东省2018年59.2万人参加高考 考生数居全国第3	山东省/ns
山东省2018高考安全工作电视会议召开	山东省/ns
山东理科生一模成绩420分能报什么样的大学？	山东/ns
山东理科生多少分能考上长安大学？	山东/ns
山东理科二模602分能报考什么大学？	山东/ns
山东考生考了590分左右，可以报考哪些学校？	山东/ns
山东考生刚过一本线，想学语言能上什么大学？	山东/ns
山东今年高考人数达59.2万 较去年增加了近万人	山东/ns
山东今年59.2万人参加高考，考生人数居全国第三	山东/ns
山东户籍，高考550分，能上哪些大学？	山东/ns
山东高考500分，能上哪些大学？	山东/ns
山东春季高考有哪些信息你必须知道？一起来看看	山东/ns
山东9所高校招生简章陆续公布 青大对获奖有要求	山东/ns
山东7所高校发布高考综合评价招生简章，千万别错过！	山东/ns
山东75419名考生参加2018年春季高考知识考试	山东/ns
山东2018综招政策发布 10所高校成绩评定方式、录取原则全解读	山东/ns
山东2018年春季高考开考 招生录取时间表出炉	山东/ns
山东2018年59.2万人参加高考 考生数居全国第3	山东/ns
山东10所高校试点综招 九所驻鲁院校计划公布	山东/ns,九所/ns
山东10所高校试点综合评价招生 9所院校计划公布	山东/ns
厦门民办小学女教师戒尺体罚女生，学校：已和解，教师被辞退	厦门/ns
厦门民办小学教师打肿女生后背 学校：已辞退 双方和解	厦门/ns
厦门教师戒尺体罚：学校称和解为何还要辞退教师	厦门/ns
考试不认真，作文不及格 通城一老师体罚学生引家长不满	通城/ns
泰山二日游	泰山/ns
都江堰景区	都江堰/ns
三亚一日游	三亚/ns
华山景区通告	华山/ns
沙家浜风景区	沙家浜/ns
张掖青海三日游	张掖/ns,青海/ns
内蒙古网红景区	内蒙古/ns
长汀沿线自驾游	长汀/ns
青岛北九水风景区	青岛/ns
鞍山有哪些景区？	鞍山/ns
母亲节九寨沟一日游	九寨沟/ns
黄山三日游多少钱？	黄山/ns
山东潍坊沂山风景区	山东/ns,潍坊/ns
河北有哪些5A景区？	河北/ns
福建有哪些5A景区？	福建/ns
自驾游去西安怎么样？	西安/ns
忻城县薰衣草庄园景区	忻城县/ns
南京幕府滨江风光景区	南京/ns
沈阳一日游怎么安排？	沈阳/ns
重庆十大必去旅游景区	重庆/ns
实拍：缅甸另类的景区	缅甸/ns
绵阳新增三家4A级景区	绵阳/ns
奇骏自驾游去西藏如何？	西藏/ns
邯郸旅游圣地旅游风景区	邯郸/ns
5月关西7日游，精华图	关西/ns
自驾游西藏要准备什么？	西藏/ns
山西太原汾河二库一日游	汾河/ns,山西太原/ns
长春周边一日游哪里好？	长春/ns
自驾游｜敦煌必去的景点	敦煌/ns
广州有哪些A级风景区？	广州/ns
宁夏水洞沟旅游景区游记	宁夏/ns
南阳有什么免费的景区？	南阳/ns
青州5A级景区值得你来	青州/ns
山西六日游该怎么游玩？	山西/ns
走进湖北千年古树群风景区	湖北/ns
哪些车更适合西藏自驾游？	西藏/ns
航拍重庆永新梨花山风景区	重庆/ns
横店影视城秦王宫一日游攻略	横店/ns
重庆一日游，怎么安排行程？	重庆/ns
长沙有哪些免费的旅游景区？	长沙/ns
“南浦溪”原始特色的风景区	南浦/ns
从西安到宁夏自驾游怎么走？	宁夏/ns,西安/ns
三亚八日游，带你一起去看海	三亚/ns
因强降雨新县多景区临时关闭	新县/ns,新县/ns
有北京到青海自驾游路书吗？	北京/ns,青海/ns
黑龙江自驾游线路精选《四》	黑龙江/ns
平顶山有哪些人文古迹景区？	平顶山/ns
华山门票降价 景区客流平稳	华山/ns
天山天池慵懒休闲品质一日游	天山/ns,天池/ns
去四川旅游，这个景区不能少	四川/ns
太原到上海自驾游如何规划？	太原/ns,上海/ns
安徽水墨汀溪风景区怎么样？	安徽/ns
南京两日游，行程该怎么安排？	南京/ns
武汉到贵阳自驾游如何安排好？	武汉/ns,贵阳/ns
北戴河：加大景区提升改造力度	北戴河/ns
重庆有几个AAAAA级景区？	重庆/ns
北京半日游独家推荐「颐和园」	北京/ns,颐和园/ns
这才是安阳附近最好的一日游！	安阳/ns
云南最美的十大风景区是哪些？	云南/ns
一日游的好去处-广州增江画廊	广州/ns
大槐树景区：被忽略的另一种美	大槐树/ns
韶关周边三日游如何规划路线？	韶关/ns
去新疆自驾游开什么车最省心？	新疆/ns
四川泸州有哪些景区比较好玩？	四川/ns,泸州/ns
辽宁5A景区推出“超级联票”	辽宁/ns
宁波象山三日游如何规划路线？	象山/ns,宁波/ns
罗山灵山寺 国家4A级风景区	罗山/ns
这一天，滁州这些景区送福利啦！	滁州/ns
求两个人，天津两日游旅游攻略？	天津/ns
周末休闲好去处，大舟山风景区！	舟山/ns
福建居民游宁夏 23景区免门票	宁夏/ns,福建/ns
洛阳白云山景区：观日出温馨提示	洛阳/ns
超超超详细「珠海」两日游攻略！	珠海/ns
杭州西湖两日游，怎样制定行程？	杭州/ns,西湖/ns
乐山人去峨眉山景区门票多少钱？	乐山/ns,峨眉山/ns
铜陵地区有哪些地方适合自驾游？	铜陵/ns
鞍山市千山景区十一假期挤不挤？	千山/ns,鞍山市/ns
芮城圣天湖景区都有什么好玩的？	芮城/ns
武安七步沟景区喜迎首批旅居老人	武安/ns
长春周边有哪些自驾游的好去处？	长春/ns
三门峡天鹅湖景区收门票合理吗？	天鹅湖/ns,三门峡/ns
安徽滁州有哪些不错的旅游景区？	滁州/ns,安徽/ns
三亚 海南海滨美食，美景六日游	三亚/ns,海南/ns
太原到青海湖自驾游有去过的没？	太原/ns,青海湖/ns
关于降低华山景区门票价格的公告	华山/ns
北京到厦门自驾游，如何规划线路？	北京/ns,厦门/ns
茅山景区南镇街入选省传统村落名录	南镇/ns,茅山/ns
湛江最美十大旅游景区，来湛江必去	湛江/ns
新乡一日游亲子游最好玩的在哪里？	新乡/ns
西安樱桃谷一日游，推荐+价格指导	西安/ns
白城市有哪些值得一去的旅游景区？	白城市/ns
从哈尔滨到西藏自驾游得花多少钱？	西藏/ns,哈尔滨/ns
广东多个景区 中国旅游日将推优惠	中国/ns,广东/ns
郑州周边有哪些适合一日游的景点？	郑州/ns
5月起，成都一大拨景区限时免费耍	成都/ns
5月起 成都一大拨景区限时免费耍	成都/ns
华山景区5月10日起降低门票价格	华山/ns
南岳衡山景区惊现“双彩虹”等奇观	衡山/ns
